epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,1.9687305678498237,2.0940461524783887,0.275,0.225
2,0.009900990099009901,1.8351059259244398,1.998294021165328,0.325,0.25
3,0.00980392156862745,1.6689033805903335,1.8868541272791397,0.425,0.225
4,0.009708737864077669,1.4917631179779118,1.776790175749369,0.475,0.225
