epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,0.9880420727115516,1.0661262938116018,0.6275462962962963,0.5938775510204082
2,0.009900990099009901,0.8624819053004198,0.9869059111915817,0.6817129629629629,0.6061224489795919
3,0.00980392156862745,0.7528056842313412,0.9135740004549173,0.7240740740740741,0.6438775510204081
4,0.009708737864077669,0.6911716915994055,0.8785981805409483,0.7488425925925926,0.6755102040816326
5,0.009615384615384616,0.6504696567538328,0.8633205528916462,0.763425925925926,0.6653061224489796
6,0.009523809523809523,0.5986822928719104,0.8407214330857166,0.7851851851851852,0.6785714285714286
7,0.009433962264150943,0.5648939641507336,0.8228279618278999,0.8011574074074074,0.6887755102040817
8,0.009345794392523364,0.532394707982376,0.8117346113808793,0.8127314814814814,0.689795918367347
9,0.009259259259259259,0.4931774182001449,0.802797588332202,0.8282407407407407,0.7020408163265306
10,0.009174311926605503,0.46471904140177317,0.7978290376502448,0.8465277777777778,0.7071428571428572
11,0.00909090909090909,0.4459341354387514,0.8037214079561577,0.8525462962962963,0.7020408163265306
12,0.009009009009009009,0.43256313063683494,0.8005191294882588,0.8483796296296297,0.6948979591836735
13,0.008928571428571428,0.39504052493640635,0.7953507209849687,0.8696759259259259,0.7030612244897959
14,0.008849557522123895,0.38641593549855213,0.7936030946504425,0.8722222222222222,0.7020408163265306
15,0.008771929824561403,0.3652940943308101,0.7790700087933201,0.8789351851851852,0.7224489795918367
16,0.008695652173913044,0.3451581520467988,0.7841017187897475,0.8939814814814815,0.7193877551020408
17,0.008620689655172415,0.34283773729393774,0.8037997919600999,0.8851851851851852,0.7010204081632653
18,0.008547008547008548,0.31772270947499287,0.7932655178945508,0.9083333333333333,0.7244897959183674
19,0.00847457627118644,0.3079844246423603,0.8105206620190517,0.9013888888888889,0.713265306122449
20,0.008403361344537816,0.28493060313411306,0.791941961058975,0.9222222222222223,0.7234693877551021
21,0.008333333333333333,0.27484251727583686,0.802103251945115,0.9203703703703704,0.7163265306122449
22,0.008264462809917356,0.2642056074327829,0.8215494787384788,0.9212962962962963,0.7142857142857143
