epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,1.1172256797702576,1.1416246331012578,0.5703703703703704,0.5642857142857143
2,0.009900990099009901,0.9680805824060253,1.0285883395423052,0.6326388888888889,0.5806122448979592
3,0.00980392156862745,0.8753337693236678,0.9512990650323596,0.6664351851851852,0.6244897959183674
4,0.009708737864077669,0.8100037952094509,0.9133682948520224,0.6965277777777777,0.6285714285714286
5,0.009615384615384616,0.7478255625163037,0.8773683472484332,0.7231481481481481,0.6520408163265307
6,0.009523809523809523,0.712790852419824,0.8625059577056904,0.7391203703703704,0.6561224489795918
7,0.009433962264150943,0.6664068150976539,0.8282426937065027,0.757175925925926,0.6785714285714286
8,0.009345794392523364,0.6405367487254034,0.8209407503548222,0.7662037037037037,0.676530612244898
9,0.009259259259259259,0.6123971293583503,0.8032822299885882,0.7761574074074075,0.6877551020408164
10,0.009174311926605503,0.5909285698634014,0.7880563275712864,0.788425925925926,0.689795918367347
11,0.00909090909090909,0.5597212230795485,0.7757620043390988,0.8018518518518518,0.7
12,0.009009009009009009,0.5383568667456679,0.7712311414353976,0.8141203703703703,0.7071428571428572
13,0.008928571428571428,0.5193861130480759,0.7695841333367393,0.8159722222222222,0.689795918367347
14,0.008849557522123895,0.5078810863612451,0.7618678502336769,0.8245370370370371,0.7051020408163265
15,0.008771929824561403,0.488887722125336,0.7623442774849921,0.83125,0.6989795918367347
16,0.008695652173913044,0.4692511571265005,0.753610678217846,0.843287037037037,0.7112244897959183
17,0.008620689655172415,0.4528715242178463,0.7507629113033295,0.8453703703703703,0.7081632653061225
18,0.008547008547008548,0.4455006868425139,0.7504090260493711,0.8518518518518519,0.6989795918367347
19,0.00847457627118644,0.43562663478951275,0.7430911861660371,0.8553240740740741,0.7142857142857143
20,0.008403361344537816,0.4129742326661313,0.745383775003252,0.8659722222222223,0.7030612244897959
21,0.008333333333333333,0.3945009407702592,0.7510239071336706,0.8696759259259259,0.7071428571428572
22,0.008264462809917356,0.39085275681698234,0.7459000567864933,0.8770833333333333,0.7163265306122449
23,0.00819672131147541,0.3804874247980584,0.7416531030968274,0.8738425925925926,0.7112244897959183
24,0.008130081300813009,0.37128497962199514,0.7492899134041635,0.8819444444444444,0.7122448979591837
25,0.008064516129032258,0.357142963363959,0.7573000458258756,0.882175925925926,0.7142857142857143
26,0.008,0.3446656296662403,0.7449659051212234,0.8905092592592593,0.7061224489795919
27,0.007936507936507936,0.3424979607783058,0.7518255687609462,0.8942129629629629,0.7193877551020408
28,0.007874015748031496,0.33389793606234697,0.740798742284869,0.8983796296296296,0.7173469387755103
29,0.0078125,0.316844793490265,0.7457805392192993,0.9,0.7153061224489796
30,0.007751937984496124,0.31426197440233816,0.7430393198581355,0.9046296296296297,0.7204081632653061
31,0.007692307692307692,0.3055499938053109,0.755371573700811,0.9076388888888889,0.7163265306122449
32,0.007633587786259542,0.3034746248792587,0.7670575855429277,0.9027777777777778,0.7081632653061225
33,0.007575757575757576,0.2910704833059126,0.7539304274147303,0.9097222222222222,0.7214285714285714
34,0.007518796992481203,0.28813765221106435,0.7499079608101715,0.9141203703703704,0.7173469387755103
35,0.007462686567164179,0.2760169645983945,0.7562101509609526,0.9199074074074074,0.7193877551020408
