model,best_variant,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,runtime_seconds,parameter_count
Support Vector Machine,linear_C_1,0.45,0.45,0.480595238095238,0.45,0.44772893772893774,0.07135864899998978,3370
Random Forest,unrestricted,0.375,0.375,0.5343145743145744,0.375,0.3715179900938415,0.8626439469999809,1698
Logistic Regression,multinomial_C_0.1,0.375,0.375,0.38692307692307687,0.375,0.3625541125541126,0.12238982799999576,405
XGBoost,depth_6_lr_0.05,0.325,0.325,0.3166666666666667,0.325,0.3126984126984127,0.8067604799999799,200
NumPy CNN,regularized_8_16,0.325,0.325,0.3521645021645022,0.325,0.29879007864488805,1.6956068409999716,78437
NumPy MLP,medium_relu_momentum,0.2,0.2,0.12705882352941175,0.2,0.1528888888888889,0.07114189300000362,54277
NumPy LSTM,hidden_32_regularized,0.125,0.125,0.15303030303030302,0.125,0.1287719298245614,0.6241705500001444,6949
