epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,1.1172256797702576,1.1416246331012578,0.5703703703703704,0.5642857142857143
2,0.00980392156862745,0.968628870369114,1.0289310002268712,0.6328703703703704,0.5785714285714286
3,0.009615384615384616,0.8765236249288458,0.9529229977566578,0.6659722222222222,0.6255102040816326
4,0.009433962264150943,0.8125880149050104,0.9155137502804354,0.6967592592592593,0.6255102040816326
5,0.009259259259259259,0.7500006820672988,0.8780905641216981,0.7224537037037037,0.6489795918367347
6,0.00909090909090909,0.7163474290291382,0.8641764341121676,0.7391203703703704,0.6530612244897959
7,0.008928571428571428,0.6715634228656715,0.8316479907870187,0.7518518518518519,0.673469387755102
8,0.008771929824561403,0.6452600608111383,0.8231955190143098,0.7655092592592593,0.6755102040816326
9,0.008620689655172415,0.619772862373731,0.8067289609144598,0.7743055555555556,0.686734693877551
10,0.00847457627118644,0.597742780812067,0.7897126924706483,0.7854166666666667,0.6928571428571428
11,0.008333333333333333,0.5669633893703496,0.7766962730750087,0.8,0.6969387755102041
12,0.00819672131147541,0.5461457371249725,0.7716636247597927,0.8108796296296297,0.7040816326530612
13,0.008064516129032258,0.5286058889295115,0.7702059206462374,0.8131944444444444,0.6938775510204082
14,0.007936507936507936,0.517091514778892,0.762042584472171,0.819675925925926,0.7051020408163265
15,0.0078125,0.5002536682292773,0.7614761152975739,0.8252314814814815,0.7040816326530612
16,0.007692307692307692,0.4814352592058775,0.7532587217734981,0.8375,0.7051020408163265
17,0.007575757575757576,0.46498594804850935,0.7502118863029594,0.8405092592592592,0.7051020408163265
18,0.007462686567164179,0.4581357666442085,0.7500004754894082,0.8465277777777778,0.6969387755102041
19,0.007352941176470589,0.4489269713287919,0.7435724343515737,0.8520833333333333,0.710204081632653
20,0.007246376811594204,0.4284103217720988,0.7457178827565294,0.8599537037037037,0.7091836734693877
21,0.0071428571428571435,0.41135672652801925,0.7485688580352368,0.8625,0.7142857142857143
22,0.007042253521126761,0.4079309498902121,0.744062813870192,0.8712962962962963,0.7173469387755103
23,0.006944444444444445,0.400688468340854,0.7415169024535165,0.8668981481481481,0.7163265306122449
24,0.006849315068493151,0.390420844252696,0.7428671499623142,0.8768518518518519,0.7193877551020408
25,0.006756756756756757,0.37419053747326936,0.750885359016121,0.8791666666666667,0.7183673469387755
26,0.006666666666666667,0.3636443297496441,0.7430650736598602,0.8831018518518519,0.713265306122449
27,0.006578947368421052,0.3610450886039767,0.7478024890490027,0.8851851851851852,0.7173469387755103
28,0.006493506493506493,0.3534164253495016,0.7420814837341059,0.8905092592592593,0.7204081632653061
29,0.00641025641025641,0.33959300804837766,0.7425392584153923,0.8949074074074074,0.7183673469387755
30,0.006329113924050633,0.3369570679354801,0.7395112697639886,0.8944444444444445,0.726530612244898
31,0.0062499999999999995,0.32987951307190566,0.7474417636573887,0.8969907407407407,0.7163265306122449
32,0.006172839506172839,0.3244128394371586,0.7534167060798845,0.8972222222222223,0.7091836734693877
33,0.0060975609756097554,0.3155825350078298,0.7504341860431198,0.8997685185185185,0.7153061224489796
34,0.006024096385542168,0.31215206446483595,0.7449685705185892,0.9071759259259259,0.7153061224489796
35,0.005952380952380952,0.30112040675440377,0.7514914388427945,0.9106481481481481,0.7153061224489796
36,0.0058823529411764705,0.2976224389847167,0.7506952045557346,0.9115740740740741,0.7142857142857143
37,0.005813953488372093,0.2944541117817785,0.7481827296346221,0.9076388888888889,0.7163265306122449
