epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,1.9082356862315835,1.9413496279760345,0.275,0.25
2,0.009900990099009901,1.7141481709689175,1.8432615171465407,0.375,0.25
3,0.00980392156862745,1.518368778544156,1.7684462028153187,0.425,0.3
4,0.009708737864077669,1.3839992896345,1.743595018430256,0.475,0.325
