epoch,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.01,1.1172317931338165,1.1416455407470982,0.5703703703703704,0.5642857142857143
2,0.009900990099009901,0.9680874620808111,1.0286086289470822,0.6326388888888889,0.5806122448979592
3,0.00980392156862745,0.8755522194100419,0.9515411711347198,0.6668981481481482,0.6244897959183674
4,0.009708737864077669,0.810611945395757,0.9135240782584172,0.6956018518518519,0.6285714285714286
5,0.009615384615384616,0.747341302483159,0.8770309583650315,0.7222222222222222,0.6510204081632653
6,0.009523809523809523,0.7129270930309862,0.8626733256374306,0.7398148148148148,0.6571428571428571
7,0.009433962264150943,0.6680806482733816,0.8294417196698722,0.7553240740740741,0.676530612244898
8,0.009345794392523364,0.6396170125643992,0.8208244035318152,0.7668981481481482,0.6785714285714286
9,0.009259259259259259,0.6121541419767855,0.8031062028010127,0.7747685185185185,0.686734693877551
10,0.009174311926605503,0.5914321133246102,0.7887243845899244,0.7868055555555555,0.689795918367347
11,0.00909090909090909,0.5583411862713726,0.7743773762587824,0.8023148148148148,0.6979591836734694
12,0.009009009009009009,0.53933565377545,0.7716307891191088,0.8143518518518519,0.7040816326530612
13,0.008928571428571428,0.51913910478932,0.7713290606816893,0.8157407407407408,0.6877551020408164
14,0.008849557522123895,0.508333591480307,0.7632684280080086,0.8224537037037037,0.7040816326530612
15,0.008771929824561403,0.48867072090590774,0.7619547828795924,0.8305555555555556,0.7040816326530612
16,0.008695652173913044,0.4699043416801289,0.7542660650180848,0.8409722222222222,0.7051020408163265
17,0.008620689655172415,0.4522700875420098,0.7508176438049942,0.8462962962962963,0.7122448979591837
18,0.008547008547008548,0.4443845897092931,0.7508778004513093,0.8539351851851852,0.6959183673469388
19,0.00847457627118644,0.43431285594911134,0.7444005918361685,0.8525462962962963,0.7112244897959183
20,0.008403361344537816,0.41257930612321614,0.7462612954142033,0.8662037037037037,0.7081632653061225
21,0.008333333333333333,0.39535849196966505,0.7480115327846256,0.8699074074074075,0.7071428571428572
22,0.008264462809917356,0.3919044488624482,0.7429662396164571,0.8770833333333333,0.710204081632653
23,0.00819672131147541,0.3816804877169265,0.7431813640095476,0.8708333333333333,0.7091836734693877
24,0.008130081300813009,0.3716637249965252,0.7490232368953493,0.8782407407407408,0.7163265306122449
25,0.008064516129032258,0.35606889316777746,0.7577998308923993,0.8805555555555555,0.7142857142857143
26,0.008,0.34425522713519796,0.7450355952191955,0.8907407407407407,0.7142857142857143
27,0.007936507936507936,0.3416119653087659,0.753003092318537,0.8907407407407407,0.7183673469387755
28,0.007874015748031496,0.33295832402910785,0.7420169461775042,0.8967592592592593,0.7234693877551021
29,0.0078125,0.31746554577042446,0.7436976975184242,0.8993055555555556,0.7173469387755103
30,0.007751937984496124,0.3136734830353064,0.7419352583099484,0.9046296296296297,0.7275510204081632
31,0.007692307692307692,0.30509320652658883,0.7556858246297959,0.9076388888888889,0.7193877551020408
32,0.007633587786259542,0.3041262369589367,0.766274552839571,0.9025462962962963,0.7051020408163265
33,0.007575757575757576,0.29086461432941313,0.7518238016039575,0.9108796296296297,0.7193877551020408
34,0.007518796992481203,0.28761203999974105,0.7489091962142143,0.9171296296296296,0.7142857142857143
35,0.007462686567164179,0.2756547209917444,0.7576769759013545,0.9217592592592593,0.7163265306122449
36,0.007407407407407407,0.27272624147840147,0.7615813007416092,0.9215277777777777,0.7193877551020408
37,0.007352941176470589,0.2705871953368596,0.756858151004845,0.9175925925925926,0.7183673469387755
